org_name,type,website,contact_email,source,ein,irs_name,irs_city,match_confidence,match_score,first_year,last_year,years_filed,filing_gaps,comp_jump_years,latest_revenue,latest_employees
African Cultural Alliance of North America,CDC,,,Ben roster,233062024,African Cultural Alliance Of North America Inc,Philadelphia,high,1.0,2011,2023,13,,2015; 2017; 2018; 2019; 2020; 2022,2613278,
Arab-American CDC,CDC,,,Ben roster,311620684,Arab American Development Corp,Philadelphia,high,1.0,2011,2023,13,,,235996,
Asociación Puertorriqueños en Marcha (APM),CDC,,,Ben roster,231930630,Asociacion Puertorriquenos En Marcha Inc,Philadelphia,high,0.89,2011,2023,13,,2020,33613538,
Beech Interplex,CDC,,,Ben roster,521693162,Beech Interplex Inc,Philadelphia,high,1.0,2011,2023,13,,2014; 2015; 2016,4055112,
Called To Serve CDC,CDC,,,Ben roster,464404323,Called To Serve Cdc Inc,Philadelphia,high,1.0,2014,2023,10,,,883926,
Catholic Housing and Community Services,CDC,,,Ben roster,822320973,Catholic Housing And Community Services,Philadelphia,high,1.0,,,0,,,,
Centennial Parkside CDC,CDC,,,Ben roster,474815728,Centennial Parkside Cdc,Philadelphia,high,1.0,2016,2023,8,,,812649,
Chestnut Hill CDC,CDC,,,Ben roster,274673757,Chestnut Hill Community Development Corporation,Philadelphia,high,1.0,2011,2023,13,,,78725,
Community of Compassion CDC,CDC,,,Ben roster,331035662,Community Of Compassion Inc,Philadelphia,high,1.0,2021,2021,1,,,198846,
Community Ventures,CDC,,,Ben roster,232462126,Community Ventures Inc,Philadelphia,high,1.0,2010,2023,14,,2011; 2023,1640458,
East Falls Development Corporation,CDC,,,Ben roster,232805925,East Falls Development Corporation,Phila,high,1.0,2010,2023,14,,2012; 2019; 2020; 2021; 2022,271935,
Empowered CDC,CDC,,,Ben roster,845037676,Empowered Cdc Inc,Philadelphia,high,1.0,2023,2023,1,,,142834,
Esperanza,CDC,,,Ben roster,232552707,Nueva Esperanza,Philadelphia,high,0.75,2011,2023,13,,2016; 2019,13454615,
Frankford CDC,CDC,,,Ben roster,232738932,Frankford Community Development Corporation,Philadelphia,high,1.0,2011,2023,13,,2017; 2018; 2019; 2020; 2021; 2022; 2023,3208911,
Germantown Restoration CDC,CDC,,,Ben roster,,,,none,0.0,,,0,,,,
Germantown United CDC,CDC,,,Ben roster,453739378,Germantown United Community Development Corporation,Philadelphia,high,1.0,2015,2023,9,,2016; 2020,606368,
